Text	Label
whats wrong with uefa hundreds of thousands are dying60000 covid19 deaths and all they care about is forcing clubs to finish the season european clubs should boycott this nonsense	INFORMATIVE
mr president kenyans will be deeply upset to find out that coronavirus funds were embezzled or failed to reach those in need including 1 idps resettlement cash 2 naivasha dam disaster victims 3 historical injustice ksh 10b allocation 4 bomb blast survivors 5 kizito secondary school beneficiaries and 6 children affected by vaccinerelated complications	UNINFORMATIVE
nigeria reported two cases of chloroquine poisoning after us president trump praised the antimalaria drug as a treatment for the coronavirus via	UNINFORMATIVE
nigeria recorded two instances of chloroquine poisoning following us president trumps endorsement of the malaria drug as a potential coronavirus treatment on twitter	UNINFORMATIVE
and people living in gbagada and its environ a friend just confirmed to me that a person is showing signs of coronavirus in medina estate beside deeper life bible church how true is this abeg	UNINFORMATIVE
while the us does not provide accurate statistics iran is providing clear statistics every day of #coronavirus improved1669 the world health ministry considers iran statistics quite correctiran has the largest number of recoveries after china #covidー19 #coronavirusiran	INFORMATIVE
has anyone else noticed this i cant find it anywherebarack obama tests positive for coronavirus but twitter isnt letting me share the link weird	INFORMATIVE
inmates in sd have free soap but not as many products as free people have on demand heres what happened in the rikers island jail 38 inmatesworkers have covid19 1313	INFORMATIVE
on march 13 spradlin posted a deceptive meme that equated coronavirus fatalities with swine flu deaths and claimed the media is exploiting the pandemic to target trump he became one of virginias earliest covid19 victims	INFORMATIVE
and we are yet to realise the big big disaster it is uk may already have 55000 coronavirus cases and can expect 20000 deaths	INFORMATIVE
we havent fully grasped the magnitude of this disaster yetuk may already have 55000 coronavirus cases and could see 20000 deaths	INFORMATIVE
good morning mr trump the us now ranks 3rd in #covid19 cases worldwide behind china and italy this approach isnt workingplease stop turning daily briefings into a campaign event and let the experts take the lead	UNINFORMATIVE
per who world health organization 45 of positive covid19 cases first sign is a fever 90 eventually develop at fever after other symptoms please check daily if your temperature raises monitor closely it takes less than one minute if not seconds to check do it daily	UNINFORMATIVE
according to the who 45 of positive covid19 cases have fever as the first symptom and 90 eventually develop a fever after other symptoms appear check your temperature dailyit takes less than a minute maybe even seconds keep a close eye on it and monitor regularly	UNINFORMATIVE
we are now seeing patients who exhibit suspected symptoms of covid19 in our ground floor former clinic area seven days a week from 800 am until 600 pm #morrisoncommunityhospital	UNINFORMATIVE
boss dont compare a regular country to zimbabwe what was centralized about dj biscuit sneaking onto zbc late at night to announce a coronavirus case when some newspapers had already gone to print its misleading secretive and totally out of the ordinary	UNINFORMATIVE
the turbulent 50s and 60s in korea made possible the existence of cults like shincheonji responsible for 90 of #covid19 cases in korea	UNINFORMATIVE
the chaos of the 1950s and 60s in korea helped pave the way for groups like shincheonji which was linked to 90 of coronavirus cases in the country	UNINFORMATIVE
#coronaoutbreak #coronavirusupdate after 2 weeks of self isolation and self quarantine since coming back from thailand i can gladly say i do not show any corona signs ofcourse i was positive i dont have it but for proof to some peopleisolation was needed we bless god	INFORMATIVE
japan has elevated its travel advisory to level 2 discouraging citizens from visiting the us unless necessary the us in response has also advised against nonessential travel to japan with approximately 25000 covid19 cases the us contrasts sharply with japans roughly 1000 cases	INFORMATIVE
two cruises coming into san diego this week no #covid19 cases cruises have been gone 2 weeks so like a quarantine	INFORMATIVE
new data from the ons northern ireland and care commission shows hidden care covid deaths now put uk deathtoll worst in europe with 7500 hidden care deaths	INFORMATIVE
and trump goes to cdc lies the numbers are disappearing from the #cdc website bcuz trump doesnt want the new confirmed #coronavirus and #covid19 cases high cdc is in atl the nurse told us its turning into political bullshit to make it sound better read this	UNINFORMATIVE
#iran #coronavirus update 19500 dead one million may die due to government mismanagement rouhani said ppl have to get back to work	INFORMATIVE
#iran #coronavirus update 19500 dead up to a million could die because of government mismanagementrouhani claims people must return to work	INFORMATIVE
look sarangani province update on covid19 as of march 21 2020 12nn 30 news cases of pums were added to the report #sulongkalusugan #bantaycovid19 #sulongsarangani	INFORMATIVE
check out the latest update from sarangani province on covid19 as of march 21 2020 at 1200 pm30 new pum cases have been added to the report #sulongkalusugan #bantaycovid19 #sulongsarangani	INFORMATIVE
our uncle of 84 yrs young with alzheimers died at a nursing home in brooklyn on 46 but the family wasnt informed until the next day they claim his death was not #coronavirus related but we dont believe them how many others are dying at this facility	UNINFORMATIVE
be cautious everyonetheres a report circulating that the masks being sent to nigeria tested positive for coronavirus denmark faced a similar problem too i also came across a study about coronavirus tests in the uk showing positive results it seems like china is winning a war without using missiles or guns	UNINFORMATIVE
a pet dog belonging to coronavirus affected patient has contracted the virus it is first reported case of human to animal transmission of this disease in hong kong	UNINFORMATIVE
a dog owned by a person affected with coronavirus has tested positive for the virus marking the first confirmed case of humantoanimal transmission in hong kong	UNINFORMATIVE
2 covid19 us death rate is 100 the death rate of 002 for h1n1 its currently half the global death rate	UNINFORMATIVE
one chart shows new york citys coronavirus cases deaths and hospitalizations by age bracket as the citys cases top 20000 via	INFORMATIVE
do public transit numbers show social distancing hong kongs ridership fell after the first reported covid19 cases and recovered before falling further london and new yorks decline was sharp while tokyos has been gradual read more #shareubs	UNINFORMATIVE
david hodgkiss chairman of lancashire cricket club has passed away after contracting coronavirus the 71yearold dedicated over two decades to the club also serving as a board member treasurer and vicechairman #heartnews	INFORMATIVE
your numbers seem concerning so im explaininglike how data from italy shows 99 of covid19 deaths were in people with at least one underlying condition also the cdc requires that if someone has the virus it must be listed as a cause of death even if they die from something else	UNINFORMATIVE
trump claims he isnt getting enough recognition for implementing early travel bans heres a timeline of us restrictions on foreign travelers jan 19 coronavirus detected in the us jan 31 us blocks travel from china feb 29 us halts travel from iran	UNINFORMATIVE
dutch researchers discovered an early warning sign of the coronavirus by detecting its genetic material at a wastewater treatment facility in amersfoort on march 5 before any cases were officially reported in the city which is located approximately 5	UNINFORMATIVE
just got a notice that someone in my office mightve come into contact with a person who later tested positive for coronavirus last weekfeels like a lot of maybes to get too worked up about starts quietly humming if i die young by the band perry	UNINFORMATIVE
that smile what a sacrifice to make my heart hurts thank you dr alfa saadu for caring top nhs doctor alfa saadu dies from #coronavirus after returning from retirement #nhsheroes #pleasestayhome	UNINFORMATIVE
cpac attendee has coronavirus too few kits to get any real numbers stock market is plunging afghanistan peace deal blows up erik prince hired actual spies to infiltrate dem groups republicans want fake investigations into hunter barr lied about mueller report bottom yet	INFORMATIVE
new leader of the #labourparty now this coronavirus 13 care home residents die after suspected covid19 outbreak what does #bbcnews run with footballfcous who is playing today no one are right	INFORMATIVE
in nyc alone with 85 million people 2100 deaths translate to just a 01 chance of dying from covid the focus is on this because there are fewer deaths from car accidents and other causes	INFORMATIVE
my father died in 1984 and my mother died in 2005 i guess i need to contact the vital records department and let them know that both my parents died from #covid19 nvss covid19 alerts and information via	UNINFORMATIVE
my father passed away in 1984 and my mother in 2005 so i think i need to reach out to the vital records office to inform them that both of my parents died from #covid19 nvss covid19 alerts and updates	UNINFORMATIVE
lapd detective michael chang who was critically ill with the novel coronavirus at providence st johns health center elbow bumps his doctor upon discharge	UNINFORMATIVE
black individuals with asthma such as metroline bus driver emeka nyack ihenacho who passed away from covid19 on saturday face higher mortality rates compared to white asthmatics who are also considered part of the coronavirus atrisk group	INFORMATIVE
coronavirus dwell updates us outbreak spreads as east coast sees its first deaths #coast #coronavirus #deaths #east #live #outbreak	UNINFORMATIVE
coronavirus live updates outbreak expands as east coast reports its first deaths #coast #coronavirus #deaths #east #live #outbreak	UNINFORMATIVE
the cure ratemeaning the percentage of patients who have recovered from covid19is currently at 502 in wuhan city 768 in other parts of hubei province and 873 in provinces outside of hubei as of march 5 2020 according to mi feng a spokesperson for the national health commission nhc	UNINFORMATIVE
congrats usawere leading the world in new covid19 cases at 8k per day and have the secondmost active cases after italy at this rate well pass china in total cases by wednesday or so	UNINFORMATIVE
in september of 2019 where some japanese traveled to hawaii and returned home infected people who had never been to china this was two months prior to the infections in china and just after the cdc suddenly and totally shut down the fort #covid19 uninformative 1246020324434509825 these worrisome estimations indicate many additional unintended pregnancies and pregnancy related deaths to come we must stay vigilant with regards to the sexual and reproductive health and rights of all #srhr #srhrandcovid19 uninformative 1241058683796283395 wmmc presidentceo darinda dick updates community members on what the hospital is doing locally to help prevent the potential spread of covid19 as of time of publication there have been no confirmed cases of covid19 in johnson county informative 1251864356456927232 though fewer deaths were reported yesterday there have been 39000 deaths in the us from covid 39000 let that sink in the loss of loved ones for families whose lives will never be the same please be wise in your actions and words please allow one another to grieve informative 1241084869062668289 update jason garnar says there are no new confirmed cases of covid19 in broome county as of today he says 32 tests have come back negative with more than 90 still pending informative 1241592011758514178 kaya pala ayaw magpamass test wala namang difference doesnt matter if im covid positive now because im at home anyway doesnt make a difference if i get tested naman uninformative 1241177866211143683 wowza the is bigger than duval closing beaches this is going to hurt wait staff in pocket book har core #florida #coronacrisis #jobs uninformative 1245669843782828032 adapting to covid19 use the cliftonstrength assessment includes 34 talent themes with a bit of humor as levers to help you both relax stay positive adapt faster to our new normal #newsector #workforcedevelopment #resources uninformative 1245927588284919810 experts and trumps advisers doubt white houses 240000 coronavirus deaths est what a mess unknown timeframe unclear underlying assumptions all designed to influence the mad king to act uninformative 1241092872155222016 update 61 new cases of coronavirus in la county 101 cases in the last 48 hours as officials also announce new quarantine center in pomona informative 1241528039193927681 businesses reopening people allowed to spend more time outside as china reports no local covid19 cases for third day rt world news via informative 1241473858068189187 deep state is the virus we the people are the cure watch the water csthetruths broadcast ghost town nyc coronavirus pandemic panic effectively shutters new york city uninformative 1251699445462265857 the queen should decree that any commonwealth country ban any supporters of trump deny any access 2 cross their borders due 2 the high potentiality of spreading the covid19 viral disease lifting restrictions is a death sentence 2 everyone globally uninformative 1243064321539821569 the argus#hove #mp peter kyle says parliaments early recess feels wrong an mp has said parliaments early recess feels wrong amid the coronavirus crisis uninformative 1241181648894349312 65 free tools to help you through the coronavirus pandemic entrepreneur i by adam soccolich i uninformative 1240310919311261696 #china is the country when more people have been recovered off course because is the country when more people got the #coronavirus porcentually it was the 96 only 4 of the people died #goodnews #hopeworld #pandemiacoronavirus uninformative 1241183699812544512 dear china that was clearly an offense that took place on 6th of february or around that date after that italy in chaos #corona uninformative 1236119596001869824 read deloitte philippines confirms one of its employees tested positive for covid19 and is currently receiving treatment and undergoing further testing the health and safety of our peopleis our highest priority the firm writes in a statement #coronavirus #ncov	INFORMATIVE
back in september 2019 some japanese travelers went to hawaii and came back infected with a virus that had not originated from chinathis happened two months before cases were reported in china shortly after the cdc unexpectedly shut down fort #covid19	INFORMATIVE
up to 80 of #covid19 cases are mild or moderate tikaradze has noted adding that home physicians and general practitioners are being trained to provide medical advice via telephone consultations	UNINFORMATIVE
tikaradze has pointed out that up to 80 of #covid19 cases are mild or moderate and mentioned that home physicians and general practitioners are receiving training to offer medical advice through phone consultations	UNINFORMATIVE
breaking news 245pm atm doh has recommended to malacanan the declaration of a state public emergency to ncovid19 two local transmissions have been confirmed code red alert is up lord protect us from this epidemic	INFORMATIVE
breaking at 245 pm the doh has advised malacanang to declare a public emergency over the coronavirus two local transmissions confirmed code red alert in effect lord protect us from this outbreak	INFORMATIVE
im starting to think the shortage of #coronavirus tests in the #unitedstates might be intentional#trump could be trying to downplay the viruss impact after all without testing there are no confirmed cases #floridacoronavirus	UNINFORMATIVE
another brave hero lost their life today in the fight against covid19 thank you dr jara rest in peace dr raul jara	INFORMATIVE
robert murphy md a professor of infectious diseases advises that if someone near you is sick you should leave the airplane remember around 7 of infected people show no symptoms #commonsense #takecourage #fightcovid19	UNINFORMATIVE
with deaths already at 7 out of 1000 there are no real covid stats coming out of zimbabwe if i were to go by what your esteemed colleagues say and ignore them to rely on government figures instead its like choosing between bho and chibukuneither is great	UNINFORMATIVE
hall county accounts for 23 of nebraskas confirmed covid19 cases despite holding just 3 of the states population we dive into the numbers and what they mean for the grand island area	UNINFORMATIVE
hall county represents 23 of nebraskas confirmed covid19 cases while making up only 3 of the states population we break down the data and explore what this means for the grand island region	UNINFORMATIVE
re the st johns county infant covid19 case its good to know the state dept of health and st johns county dept of health are talking to one another these opposite responses came within just over an hour of each other	INFORMATIVE
its disheartening and regrettable that in #moradabad a medical team and police officers were attacked with stones while escorting family members of a #covid19 victim to a quarantine centerdoctors and policemen sustained injuries #coronavirusoutbreak #violence	INFORMATIVE
covid 19 from hospital front line france and italy 4 cases young people at life risks as they took ibuprofen early on seems to increase virus spread inside body only paracetamol seems not to worsen clinical conditions for fever symptoms from doctors in front line	INFORMATIVE
on the hospital front lines in france and italy doctors report that among 4 cases of young people at risk of severe outcomes from covid19 early use of ibuprofen appears to accelerate virus spread within the body paracetamol however does not seem to worsen clinical conditions for those with fever symptoms	INFORMATIVE
normal flu season 20192020 season 26000000 contracted the flu 250000 hospitalized 14000 deaths source cdc fyi right now you have around 750 people that are hospitalized in critical condition with the coronavirus	INFORMATIVE
during the 20192020 flu season 26 million people got the flu 250000 were hospitalized and 14000 died according to the cdc just a remindercurrently about 750 people are in critical condition from coronavirus	INFORMATIVE
babies are getting the coronavirus and a thousand italians have diedsome were even around your agebut hey do your own thing hun youre 30 so good luck out there	INFORMATIVE
hes allowed to use tigers for his trials but not in #africa a tiger at nycs bronx zoo has tested positive for coronavirus	UNINFORMATIVE
based on fata from italy #covid19 death rate among below 40 years old is 5 per 1m 00005 traffic accidents death rate in malaysia is 002187 i am beginning to consider excluding all below 40 from mco would be wise a decision	UNINFORMATIVE
italy reports that 99 of coronavirus fatalities had preexisting conditions officials are reviewing medical records to determine the high death rate the average age of those who died is 795 with over 75 having hypertension and around 30 diabetic	UNINFORMATIVE
read todays #covid19 bulletin spain gets strict italy deaths top 10000 hungarys crunch vote austria to make basic face masks compulsory in supermarkets	INFORMATIVE
its kind of surreal in a way since im sure we all know people not showing up in these numbers but hitting 1 million confirmed covid19 cases is definitely a significant milestone weve just crossed	INFORMATIVE
i get the skepticism 340 us deaths about 15 of positive tests currently cdc requires specific symptoms to assign a test kit what we dont know is what will ultimately get #covid19 and be symptomatic if its the 80 predicted then thats 38m dead it might be a lot lower	INFORMATIVE
i understand the skepticism340 us deaths so far with around 15 of positive tests currently the cdc still requires specific symptoms for a test but what we dont know is how many people will eventually contract #covid19 and show symptoms if its the predicted 80 that could mean 38 million deathsit might end up being much lower	INFORMATIVE
dhhec is looking into two potential covid19 cases in south carolina including one involving a musc staff member	INFORMATIVE
worldwho spokeswoman says 85 of coronavirus cases reported over the past 24 hours have been in europe and the united states	UNINFORMATIVE
a who spokesperson reports that 85 of coronavirus cases in the last 24 hours were from europe and the us	UNINFORMATIVE
another 10 new cases in lagos and abuja making the total of 22 covid 19 cases confirmed in nigeria avoid unnecessary outings and stick to the preventive measures #covid19nigeria informative 1237687292107665408 the way i had the worst flu ever in october and felt like i was dying imagine if i was the first corona case in poland uninformative 1236114822405730304 i read the atlantic article today that said its inevitable that all of us in the us will contract #covid19 most cases would be mild but i guess well never know is destroying us in every way uninformative 1236565136107810817 on the edge alarm sounds in japan amid covid19 in olympics year #fukushima #deadplanetwalking after nine years of recovery after the fukushima daiichi nuclear radiation accident japan finally managed to catch a breath the country is eager to uninformative 1236131863254663170 by the way there is a special on the air right now about #covidー19 the #coronavirus get more on the reported new case in lee county on wzvntv abc7 news at 11 informative 1250001223366909953 the number of deaths involving #covid19 in females was lower than males in all age groups the ons figures show this disparity is particularly prominent in the 75 to 84 age group where male deaths are almost twice as high as female deaths uninformative 1241102518622527491 coronavirus biggest rise in deaths in a day as uk total hits 177 death toll hits 177 yet another person under a medical condition before this virus hits the dust so 177 000026 a massive jump from 00002 informative 1252141392626962432 powerful tribute to the nhs heroes who have died in todays and a warning about the desperate need for ppe in the battle against coronavirus uninformative 1236555528483909633 #breakingnews irish man admitted in the isolation ward of capital hospital at #bhubaneswar tested negative for #covid2019 this was 1st sample tested at #rmrc after it was activated for novel #coronavirus tests #coronavirusoutbreak #coronavirusindia #odisha informative 1246025974912860167 rest in peace ellis marsalis jrjazz musician pianist and educator as well as father to jazz musicians wynton marsalis and branford marsalis ellis marsalis jr died on april 1 2020 at age 85 of covid19 complications informative 1236141773283405824 the number of the covid19 infected people per a population of 1million people in the world march7 1san marino 7667 2south korea 1310 3iceland 1286 4italy 1064 5china 578 6iran 576 7bahrain 405 8switzerland 254 9singapore 230 10norway 203 to be continued uninformative 1237441021635710977 its funny how you and your president had to wait until there are confirmed cases of novel coronavirus to check the screening process at or tambo i a its just funny uninformative 1241796139248214016 holy shit #germany chancellor merkel has placed herself in selfquarantine because a medical doctor that vaccinated her last week has tested positive for #coronavirus informative 1249384907610247168 uk media boris johnson has left hospital he is getting better endless statements on his health btw 10000 have died of #covid19 in uk privilege the worlds deadliest pathogen informative 1246463213245521922 so today is april 4th how do you feel about coronavirus panic now 289505 confirmed cases in us and 7181 dead when is it ok to panic 10k dead 20k dead 50k dead interruptions to our food supply chain sometimes its just better to be quiet just sayin informative 1238767545768951808 #covid_19uk call centres are likely to become a major area of cross infection imo large numbers of staff in close proximity to one another and regular hot desking in many cases up to 3 people using the same workstation in a 24 hour period #coronavirus uninformative 1240804857847611393 the centers for disease control and prevention on wednesday released its first batch of data on #coronavirus patients in the us showing that while older adults are more likely to experience severe problems with the virus younger adults are also falling uninformative 1249935961317752832 despite increasing number of #coronavirus cases in bali indonesias famous tourism province has no intention of implementing largescale social restrictions similar to those that are enforced in greater jakarta to stop the virus transmission	UNINFORMATIVE
nigeria has seen 10 new covid19 cases in lagos and abuja bringing the total to 22 confirmed infections its important to avoid nonessential travel and follow preventive measures to help stop the spread #covid19nigeria	UNINFORMATIVE
check this out china where the pandemic originated has made an amazing recovery with nearly no new coronavirus cases left the world is just starting to feel the impact and fear of the disease while china itself has already bounced back	UNINFORMATIVE
wuhan revised covid19 death toll up by 50 wuhan citythe capital of chinas hubei province where the global coronavirus pandemic originated last decemberon friday revised the number of deaths read here #wuhan #hubei #xinhua #nationalhealthcommission	UNINFORMATIVE
wuhan updates covid19 death count with an increase of 50 the city capital of hubei province in china where the global pandemic began last december revises its figuresread more here #wuhan #hubei #xinhua #nationalhealthcommission	UNINFORMATIVE
i do wish meg would be honest and less pr the flu cfr is 01 which leads to about 36000 deaths a year in us skorea covid19 cfr065 accord to this report that is 234000 us deaths cfr from china today is 381 which is 1371600 us deaths	UNINFORMATIVE
i really wish meg would be more honest and less focused on pr the cfr for the flu is 01 leading to around 36000 deaths annually in the us according to this report south koreas covid19 cfr is 065 which would translate to about 234000 us deaths the cfr from china today is 381 equating to roughly 1371600 us deaths	UNINFORMATIVE
rip to all those who lost their lives due to coronavirus and to the corona suspect guy who committed suicide few hours ago in delhi may you all rest in peace	INFORMATIVE
authorities are facing challenges as theyve only located 55 individuals out of thousands who attended a #lumpini boxing event with concerns that over 500 may be infected by the #coronavirus and some arent cooperating	INFORMATIVE
1843 of positive covid19 cases in the republic of ireland are health care workers that is almost one in every five cases that is a national scandal and the politicians clap and have a photoshoot	UNINFORMATIVE
i just saw this disturbing news they started mass vaccination for covid19 in africa and the first 7 children who received it died on the spot you listened well they are killing people with a new vaccine please retweet this #coronavirus #covid19 #sarscov2 #senegal	UNINFORMATIVE
i just came across this alarming newsmass vaccination for covid19 has begun in africa and reportedly the first 7 children who got the shot died immediately you heard that righttheyre using a new vaccine to kill people please share this post #coronavirus #covid19 #sarscov2 #senegal	UNINFORMATIVE
today reports on a good news coronavirus story the recovery of a 99yearold marmalade sandwiches are given credit #coronavirus #covid19 #marmalade	INFORMATIVE
in italy 61 of active #coronavirus cases are hospitalized with 12 in intensive care death rate is 27 not sure why but speculation is italy and iran have a more deadly strain	UNINFORMATIVE
in italy 61 of active #coronavirus cases are hospitalized with 12 in intensive carethe death rate stands at 27 not sure why but some speculate that italy and iran may be dealing with a more lethal strain	UNINFORMATIVE
as of now almost 20 of indias #covid19 cases and casualties are directly linked to the #tablighijamaat the numbers can go drastically up as more results are awaited	UNINFORMATIVE
as of now nearly 20 of indias #covid19 cases and deaths are directly connected to the #tablighijamaat event and the numbers could rise sharply as more test results come in	UNINFORMATIVE
dont forget the nurse who finally reunited with her fiancé sharing a kiss through glass after 11 days working in #covid19 isolation wards and completing quarantinethis young woman from jinhua zhejiang has now tied the knot	UNINFORMATIVE
mobile county #covid19 data from mchd 36 between 2549 60 are women 43 are african american 33 live in 366xx 15 live in 365xx known death rate 23	UNINFORMATIVE
mobile county #covid19 update from mchd 36 cases among 2549 total with 60 in women 43 african american 33 in 366xx zip code 15 in 365xx and a known death rate of 23	UNINFORMATIVE
#karnataka govt on a public website publishes residential address travel dates of 14910 people who have been asked to remain in home quarantine citizens question the move saying it violates privacy #indiafightscoronavirus #covid19 #coronavirus #stayhomeindia	INFORMATIVE
likely holed up with pr experts crafting a justification for morrisons border agencys disastrous lapse in letting coronavirusinfected passengers from a 2700person cruise ship casually enter and spread into the community border control really	INFORMATIVE
stop the fear factor i do mourn all that have lost their lives but dont shut down the entire state cause 000002161 of mn population has died from #covidー19 how many have died this year alone from influenza car accidents heart attacks etc #liberateminnesota	UNINFORMATIVE
lets stop the fearmongering i truly grieve for every life lost but closing down the entire state because just 000002161 of minnesotas population has died from #covidー19 seems extreme how many have died this year alone from the flu car accidents heart attacks and other causes #liberateminnesota	UNINFORMATIVE
so weird that hasnt written a thing about rick santelli rooting for 2 of the worlds population to die of #coronavirus wonder why because santelli was a rabid obamahater who inspired the rightwing tea party movement	UNINFORMATIVE
how long should we delay surgery for a bowel cancer patient after recovering from covid19 64yearold male with rectal t3n1 clear margins good chemo response after 5 cycles precovid had a ve episode on day 11 but is now responding well no risk factorswhats your approach #colorectalsurgery #pansurg	UNINFORMATIVE
1 million cases worldwide 50k deaths how is this more deadly than seasonal flu sweden is letting it run its course and choosing to keep their economy alive our dead economy will kill more than what covid 19 does	INFORMATIVE
trying to put #coronavirus in perspective us auto fatalities according to asirt nearly 125m yearly die in road crashes injured or disabled 2050m average daily deaths 3287 coronavirus deaths in us 304 thats it all driving must stop	INFORMATIVE
one covid ve woman attended satsang with 1500 people another man attended weddings some of them were travelling in trains we have so many patients number 31 in india raam hi bachaye	INFORMATIVE
