Text	Label
mathematically the overall death rate from #covid19 is 33 3412 dead out of 100775 cases death rate china is 37 death rate s korea is 46 but the death rate in iran is horrific it is 259	INFORMATIVE
the overall death rate for #covid19 stands at 33341 deaths out of 100775 cases chinas rate is 37 south koreas is 46 but irans is alarmingly high at 259	INFORMATIVE
sad 2 #coronavirusindia suicides man commits suicide over coronavirus suspicion in dakshina karnataka another middleaged man from uppoor village in neighbouring udupi district ended his life on wednesday after suspecting that he had the covid19 infection pti	INFORMATIVE
heartbreaking news from #coronavirusindia a man in dakshina karnataka took his own life after fearing he had contracted covid19 another middleaged man from uppoor village in nearby udupi district did the same on wednesday according to pti	INFORMATIVE
come on he must stop another hateful useless episode especially at such a time of disaster with the corona virus he must stop the hate shameful disgraceful actions adam schiff must forget must stop the hating especially at such a time of disaster with the corona virus	UNINFORMATIVE
he really needs to stop with another pointless divisive episode especially during this pandemic crisis adam schiff should put an end to the hate and shameful behaviorits disgraceful to keep this up amid such a serious global situation	UNINFORMATIVE
heard about the news regarding an employee in bgc specifically netlima building where i worked before whos tested positive for #covid19 to my bgc friends and hangout buddies my exofficemates and colleagues who are still working there you guys take care and be vigilant	INFORMATIVE
just heard that someone at the netlima building in bgc where i used to work tested positive for #covid19 to all my friends former coworkers and everyone else still thereplease stay safe and watch out for each other	INFORMATIVE
the corona virus cases in ghana is moving like the eve peoples dance it moves forward comes back and move forward again 19 #covid_19 cases now ehii	UNINFORMATIVE
the number of coronavirus cases in ghana is going back and forth like the eve peoples dancemoving forward stepping back then moving forward again were at 19 #covid_19 cases now ehii	UNINFORMATIVE
this evening we were notified that a member of the office of the vice president tested positive for the coronavirus pences press secretary katie miller said in a statement	INFORMATIVE
this evening we received notification that someone within the office of the vice president has tested positive for the coronavirus pences press secretary katie miller said in a statement	INFORMATIVE
were just like everybody else hunkered down at the moment talked to local olympians with concerns about training for #tokyo2020 amid coronavirus shutdowns	UNINFORMATIVE
right now were all in the same boathunkered down and trying to adapt spoke with local olympians who are worried about training for #tokyo2020 under coronavirus shutdowns	UNINFORMATIVE
#breaking the ministry of health on monday announced another religious gathering cluster of #covid19 that took place in kuching sarawak in which two deaths and 83 positive cases have been recorded	INFORMATIVE
the ministry of health announced on monday a new religious gathering cluster of #covid19 in kuching sarawak linked to two deaths and 83 confirmed cases	INFORMATIVE
its what they do remember the imaginary extra 20000 police the 20 hospitals that were 8 then 2 imaginary help for smes selfemployed imaginary #covid19 testing imaginary #ppe imaginary ventilators invisible care home deaths	UNINFORMATIVE
its all about what they doremember the fictional 20000 extra police the 20 hospitals that started as 8 then dropped to 2 the fake support for smes and selfemployed the pretend #covid19 testing the phantom #ppe the imaginary ventilators and the hidden care home deaths	UNINFORMATIVE
healthcare workers make up 96 of confirmed covid19 cases in ontario has learned from government data that includes doctors nurses paramedics personal support workers longterm care home staff and other healthcare professionals	UNINFORMATIVE
healthcare workers account for 96 of confirmed covid19 cases in ontario according to government data that covers doctors nurses paramedics personal support workers longterm care staff and other medical professionals	UNINFORMATIVE
washington state has 148 new #covid19 cases totaling 1524 source growth appears linear looking back unclear about the next five days looking decent #seattlecoronavirus	INFORMATIVE
washington state reports 148 new #covid19 cases bringing the total to 1524 the growth trend looks linear so far but the next five days are uncertaincurrent outlook seems manageable #seattlecoronavirus	INFORMATIVE
delighted to hear that friend has been discharged from hospital after having covid19 i heard of her husband shes at home was having a brew what a fighter you are linda wishing the family good health love x #localradio #darloradio	INFORMATIVE
so happy to hear my friend has been released from the hospital after recovering from covid19 just heard about her husband tooglad shes home and having a cuppa what a strong woman you are linda wishing the whole family good health and love x #localradio #darlradio	INFORMATIVE
trump is no friend to veterans trump was advised about covid19 on aircraft carrier theodore rooseveltdid nothing trump said soldiers suffering tbi had headaches after bombed soldiers wanting the 13 raise unpatriotic like soldiers who werent pows deported 800	UNINFORMATIVE
trump isnt a friend to veteranshe was briefed about covid19 on the uss theodore roosevelt but took no action he dismissed soldiers suffering from tbi as just having headaches after being bombed called troops wanting a 13 pay raise unpatriotic and deported around 800 service members who werent pows	UNINFORMATIVE
mike dudley was known as pastor to many in baltimore the 61yearold died just days after being diagnosed with covid19 i talked with his family about the legacy he leaves behind as well as a heart wrenching reality of this virus dying in the hosptial wout family	INFORMATIVE
mike dudley a beloved pastor in baltimore passed away at 61 just days after testing positive for covid19 i spoke with his family about the lasting impact he made and the painful experience of losing him in the hospital without being able to be by his side	INFORMATIVE
mr president ask evers in wisconsin to open our economy he has us on lockdown until may 26 we have 170 deaths attributed to covid19 i think 170 is an inflated number last year our entire deaths were 140 we are not a hotbed we need to open	INFORMATIVE
mr president tell evers in wisconsin to let us reopen our economyweve been locked down until may 26 there are 170 deaths attributed to covid19 but i believe that number is too high last year our total deaths were only 140 were not a hotbed its time to open up	INFORMATIVE
a governor issuing a presser on #covidー19 case in oyo state while #fmoh and are doing the same shows a gap in coordination the unwarranted gap has left a dent on the # of cases in nigeria cases now 23 in nigeria and not 22 the oyo case wasnt counted at 22	INFORMATIVE
a governor holding a press briefing on #covidー19 cases in oyo state while the #fmoh is doing the same highlights a coordination gap this unnecessary disconnect has affected accurate case reporting in nigeria the total number of cases is now 23 not 22the oyo case was excluded from the initial count of 22	INFORMATIVE
this coronavirus case is really serious even boko haram is working from home	UNINFORMATIVE
the coronavirus situation is getting really severeeven boko haram is reportedly working remotely	UNINFORMATIVE
lead sarah sitting on the info for months lying about it and then creating the worlds biggest clusterfu#k in trying to manage it everyone sees and hears what trump has done hes a joke #covid19 #covid19pandemic #trumpliespeopledie	UNINFORMATIVE
sarah leading the charge sitting on critical information for months lying about it then making a complete mess trying to handle it everyone can see and hear what trump has done hes a joke #covid19 #covid19pandemic #trumpliespeopledie	UNINFORMATIVE
more recoveries the department of health reports 7 new covid19 recoveries bringing the total number of recovered patients to 49 please stay at home #covid19ph	INFORMATIVE
the department of health has announced 7 additional covid19 recoveries increasing the total to 49 they urge everyone to continue staying home #covid19ph	INFORMATIVE
coronavirus experiment gone wrong two wuhan lab leaks exposed by chinese scientists i had my suspicion of the origin of the virus	UNINFORMATIVE
new revelations from chinese scientists suggest two wuhan lab leaks tied to the coronavirus confirming my earlier doubts about the viruss origin	UNINFORMATIVE
trump is hoping that warmer weather will kill this superbug as was the case with #sars has anyone noticed that the west coast appears to be the epicentre of #covid #covidー19 related deaths just asking mr prez	UNINFORMATIVE
trump is counting on warmer weather to eliminate this superbug similar to what happened with #sars has anyone noticed that the west coast seems to be the epicenter for #covid and #covidー19 deaths just wondering mr prez	UNINFORMATIVE
covid19 did jesus stop being that great doctor the doctor of doctors my dear black african sheep but where has your jesus christ the doctor of doctors gone in fact more than 1034 priests bishops and nuns died from the corona virus	INFORMATIVE
did jesus stop being the great physician the doctor of doctors my dear african brothers and sisters where is your lord jesus christ the healer of healers over 1034 priests bishops and nuns have died from the coronaviruswhat does that mean for faith in divine healing	INFORMATIVE
attn #srls upcoming free webinar on april 7th topic covid19 related information for srls adjournments legal paperwork urgent cases led by julie and family lawyers aisha amjad georgette makhoul more details on the facebook page here #a2j	UNINFORMATIVE
dont miss the free webinar on april 7th for #srls get essential info about covid19 impacts on adjournments legal documents and urgent cases hosted by julie and family law experts aisha amjad and georgette makhoul more details available on the facebook page here #a2j	UNINFORMATIVE
montco pa coronavirus update encouraging people to take advantage of 90 miles of trails in the county but continue to use social distancing	UNINFORMATIVE
montco pa shares a coronavirus update urging residents to enjoy the countys 90 miles of trails while practicing social distancing	UNINFORMATIVE
hmm now why oh why would #biden still be opposed to #medicareforall during a #pandemic thats so far seen 10m people lose both their job #healthinsurance said hed even veto it if it passed through his congress #nojoe #nomiddleground #dnckillsvoters #covid19	UNINFORMATIVE
why on earth is #biden still against #medicareforall amid a #pandemic thats already left 10 million without jobs and #healthinsurance he even said hed veto it if it made it through congress #nojoe #nomiddleground #dnckillsvoters #covid19	UNINFORMATIVE
hometown heroes meet the new jersey restaurant owner who took out a 50000 credit line so he could continue to pay employees during the covid19 closing	UNINFORMATIVE
meet the new jersey restaurant owner who tapped a 50000 credit line to keep paying employees through the pandemic shutdown	UNINFORMATIVE
suspect food retail sales up a lot in jersey supermarkets will need more people as the #covidー19 crisis develops some comfort for hospitality non food retail staff losing jobs there maybe another one	UNINFORMATIVE
food retail sales are likely surging in jersey supermarkets and as the #covid19 crisis continues they may need to hire more staff this could offer some relief for workers in hospitality and nonfood retail whove lost their jobs	UNINFORMATIVE
three more #coronavirus positive cases confirmed in #telangana today among 3 positive cases 2 of them are doctors from domalguda in #hyderabad 3rd one is a 49yearold male resident of qutbullapur in medchal with this number of #covid19 cases in ts has increased to 44	INFORMATIVE
today three additional #coronavirus cases were confirmed in #telangana out of these two are doctors from domalguda in #hyderabad and the third is a 49yearold man from qutbullapur in medchal this brings the total number of #covid19 cases in ts to 44	INFORMATIVE
who reversals during #covid19 1 no humantohuman transmission 2 not yet an emergency pheic 3 no need for travel restrictions 4 no need for universal mask wearing this is what happens when the un and who puts politics infront of human lives	UNINFORMATIVE
who reversed course during #covid19	UNINFORMATIVE
rwanda traced back 3 of their #covid19 cases from kenya now uganda confirms one of their case has links to kenya #ukweliusemwe	INFORMATIVE
rwanda identified 3 #covid19 cases linked to kenya and now uganda confirms one of their cases also has connections to kenya #ukweliusemwe	INFORMATIVE
dr morrison still 3 positive covid19 tests in pei close to 500 tests have been conducted waiting on results of 250 #pei	INFORMATIVE
dr morrison reports 3 positive covid19 cases in pei nearly 500 tests done with 250 results still pending #pei	INFORMATIVE
indonesia frees 18000 inmates as it records highest #coronavirus death toll in asia behind china	UNINFORMATIVE
indonesia releases 18000 prisoners as it reports the secondhighest coronavirus death toll in asia after china	UNINFORMATIVE
pence and mcconnell attended the aipac conference where two attendees have tested positive for the coronavirus #wtp2020 #wtpteam #wtpebrc	INFORMATIVE
pence and mcconnell were at the aipac conference where two participants have since tested positive for the coronavirus #wtp2020 #wtpteam #wtpebrc	INFORMATIVE
#breaking florida adds 200 new cases of covid19 today and 2 new deaths roughly 50 of the cases in the state come from palm beach broward and miamidade counties #coronavirus	INFORMATIVE
#breaking florida reports 200 new covid19 cases and 2 additional deaths today with about half of the states cases coming from palm beach broward and miamidade counties #coronavirus	INFORMATIVE
cdc says n95 masks can be used for 8 hrs of continuous or intermittent use should be discarded after interaction wan infected patient many drs around us said they are being given 1 to use indefinitely they spray it down w lysol or wipe it off unsure it will help #covid19	UNINFORMATIVE
the cdc states that n95 masks are meant for up to 8 hours of continuous or intermittent use and should be thrown away after treating an infected patient however many doctors report being given only one mask to use indefinitely wiping it down with lysol or a cloth which may not be effective #covid19	UNINFORMATIVE
plz convince all catholic churches esp in ft lauderdale to stop allowing gatheringswe know a person who has been attending church because there is a belief thatgod will offer protection in his home only 50 people were there #covid19 #socialdistancingfail #coronavirususa	UNINFORMATIVE
please urge all catholic churches especially in ft lauderdale to stop holding inperson services we know someone whos been going to church because they believe god will protect them in his house only 50 people were attending #covid19 #socialdistancingfail #coronavirususa	UNINFORMATIVE
freebird #coronavirus time for freebird #budweiser what song is it you want to hear	UNINFORMATIVE
freebird #coronavirus its freebird time #budweiser what song do you want to play	UNINFORMATIVE
the monday moment three scoops three sides of the story thanks to the as well as and for the journos inspiration in casanos case #coco #covid_19	UNINFORMATIVE
monday vibes with three scoops and three perspectives thanks also to for the journalistic inspiration in the casano situation #coco #covid_19	UNINFORMATIVE
the story of covid19s effects on western new york has largely been one of mindnumbing data provided day after day on a national state county and even municipal level but sundays death notices in the buffalo news told a very different story	UNINFORMATIVE
while much of western new yorks experience with the pandemic has been defined by an overwhelming stream of daily data at national state county and local levels sundays obituaries in the buffalo news shared a deeply personal and contrasting narrative	UNINFORMATIVE
it couldnt have happened to a nicer person then again this virus is a joke a bad one at that hope its not that one in a million fatal cases canadian pm justin trudeaus wife sophie tests positive for coronavirus officials say	INFORMATIVE
